Go to: http://www.csvjson.com/csv2json
type,value,text
HCM,Quan 1,Quận 1
HCM,Quan 2,Quận 2
HCM,Quan 3,Quận 3
HCM,Quan 4,Quận 4
HCM,Quan 5,Quận 5
HCM,Quan 6,Quận 6
HCM,Quan 7,Quận 7
HCM,Quan 8,Quận 8
HCM,Quan 9,Quận 9
HCM,Quan 10,Quận 10
HCM,Quan 11,Quận 11
HCM,Quan 12,Quận 12
HCM,Binh Chanh,Bình Chánh
HCM,Binh Thanh,Bình Thạnh
HCM,Binh Tan, Bình Tân 
HCM,Can Gio, Cần Giờ
HCM,Cu Chi, Củ Chi
HCM,Go Vap, Gò Vấp
HCM,Hoc Mon,Hóc Môn
HCM,Nha Be, Nhà Bè
HCM,Phu Nhuan, Phú Nhuận
HCM,Tan Binh,Tân Bình
HCM,Tan Phu, Tân Phú
HCM,Thu Duc, Thủ Đức
