Go to: http://www.csvjson.com/csv2json
type,value,text
PRODUCT, RC-BL-20W, RC-BL-20W (Bóng đèn duổi muỗi)
PRODUCT,E3-V4Kg,E3-V4Kg (4 lỗ quá tải)
PRODUCT,E5-V6KU2,E5-V6KU2 (6 lỗ USB)
PRODUCT,EA-V5M,EA-V5M (5 lỗ schuko)
PRODUCT,PMS-GEA-05SM,PMS-GEA-05 SM (chính phụ schuko)
PRODUCT,PA-GE1-01SW, PA-GE1-01SW (wifi trung tâm)
PRODUCT,PA-GE7-01SRF1, PA-GE7-01SRF1 (Ổ điều khiển)
PRODUCT,SD-UN2-RF,SD-UN2-RF (remote)
PRODUCT, AC-P-16A, AC-P-16A (Dây nguồn AC-Tech 16A)
PRODUCT, AC-P-10A, AC-P-10A (Dây nguồn AC-Tech 10A)
PRODUCT, AC-LED-220W, AC-LED-220W (Dây nguồn LED 220W)
PRODUCT,KHAC,Sản phẩm khác
